pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
ETH-USD-LINK-USD,2.25,stress,51,0.5895537730662583,-0.005763802432564551,-0.6679175697359859,0.3727584056468654,0.39215686274509803,-0.2806119492180935,-0.09862110294217608,0.07575000000000001,0.08080000000000001,0.026683685239123858,0.040400000000000005,0.00101,23999,False,False
ETH-USD-SOL-USD,1.0,base,48,0.36564124531148556,-0.002379941769701691,-1.0347556292489988,0.1668264918808929,0.22916666666666666,-0.11191388447253092,-0.009646222880033806,0.0475,0.038,0.003411934895833334,0.019,0.0009500000000000001,12000,False,False
ETH-USD-SOL-USD,1.0,stress,48,0.20667171571755927,-0.004062233436368357,-1.7172859530280042,0.22256068131082174,0.16666666666666666,-0.18101991136555218,-0.009646222880033806,0.07125000000000001,0.076,0.003411934895833334,0.038,0.0009500000000000001,12000,False,False
BTC-USD-ETH-USD,1.0,base,46,0.12758017707918887,-0.003579471362422587,-2.1517044553483347,0.15299147068792074,0.21739130434782608,-0.15362696474220316,-0.05875692736039384,0.0455,0.0364,0.005153317708333334,0.0182,0.0009100000000000001,12000,False,False
BTC-USD-ETH-USD,1.0,stress,46,0.037790585024597624,-0.005260993101553023,-3.0184148758500364,0.2155356108200609,0.13043478260869565,-0.216791214076693,-0.05875692736039384,0.06825,0.0728,0.005153317708333334,0.0364,0.0009100000000000001,12000,False,False
BNB-USD-LINK-USD,1.75,base,44,0.35944287847752376,-0.0075913211693618985,-1.834261847323638,0.3247582002395359,0.13636363636363635,-0.2925887123685157,-0.2194070836941433,0.0435,0.034800000000000005,0.0012639573686560384,0.017400000000000002,0.0008700000000000001,12000,False,False
BNB-USD-LINK-USD,1.75,stress,44,0.30386734246307806,-0.009272002987543715,-2.186620495007862,0.3611994046803049,0.13636363636363635,-0.3434159325485491,-0.2194070836941433,0.06525,0.06960000000000001,0.0012639573686560384,0.034800000000000005,0.0008700000000000001,12000,False,False
BTC-USD-SOL-USD,1.0,base,42,0.36120599787448077,-0.003439728096379165,-1.2869492520379227,0.17091210025029857,0.35714285714285715,-0.13849075051516568,-0.05017432276530942,0.041499999999999995,0.0332,0.0053921640625,0.0166,0.0008300000000000001,12000,False,False
BTC-USD-SOL-USD,1.25,base,42,0.31522497862248045,-0.0036447757480235522,-1.3615458167558845,0.17626444081368103,0.2857142857142857,-0.14589053766068294,-0.05831908210670733,0.0415,0.0332,0.0053921640625,0.0166,0.0008300000000000001,12000,False,False
BTC-USD-SOL-USD,1.0,stress,42,0.2129352083224956,-0.005119490001141069,-1.87700773913235,0.22503385067184067,0.23809523809523808,-0.19732983440857854,-0.05017432276530942,0.06225000000000001,0.0664,0.0053921640625,0.0332,0.0008300000000000001,12000,False,False
BTC-USD-SOL-USD,1.25,stress,42,0.18711585562574196,-0.005324537652785458,-1.947041968831449,0.23169882119325058,0.21428571428571427,-0.20423306882303705,-0.05831908210670733,0.06225,0.0664,0.0053921640625,0.0332,0.0008300000000000001,12000,False,False
BTC-USD-ETH-USD,1.25,base,42,0.13696701848355558,-0.003516989713280085,-1.9325470606742605,0.1385146359602791,0.23809523809523808,-0.13916099170257945,-0.05113786017569999,0.0415,0.0332,0.005153317708333334,0.0166,0.0008300000000000001,12000,False,False
BTC-USD-ETH-USD,1.25,stress,42,0.04483094352109873,-0.00519675161804199,-2.7351484202767122,0.19666980476460313,0.09523809523809523,-0.19795560437922066,-0.05113786017569999,0.06225,0.0664,0.005153317708333334,0.0332,0.0008300000000000001,12000,False,False
ETH-USD-SOL-USD,1.25,base,36,0.5683094302879937,-0.0015463468268691243,-0.5080300663045412,0.11384701983360944,0.3055555555555556,-0.058283608940917775,0.022484771914223822,0.035500000000000004,0.0284,0.003411934895833334,0.0142,0.0007100000000000001,12000,False,False
