strategy_id,strategy_name,pair,required_trades,status,base_trades,stress_trades,base_observations,stress_observations,base_multiplier,stress_multiplier,pair_multiplier,missing_cost_buckets,notes
4,ECM + Copula + ZScore,BTC-USD-JUP-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-LINK-USD,100,gap,0,0,23999,23999,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-NEAR-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-ONDO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-PENGU-USD,100,gap,0,0,400,400,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-PEPE-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-POL-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-PUMP-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-RENDER-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-SEI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-SOL-USD,100,gap,0,0,12000,12000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-SUI-USD,100,gap,0,0,100,100,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-TAO-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-TRUMP-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-TRX-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-WLD-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
4,ECM + Copula + ZScore,BTC-USD-WLFI-USD,100,gap,0,0,1000,1000,0,0,0,none,near_zero_signals_in_bucket
