pair,regime,observations,observation_share
SOL-USD-APT-USD,bear,47,0.235
SOL-USD-APT-USD,crisis,12,0.06
SOL-USD-ALGO-USD,range,374,0.935
SOL-USD-ALGO-USD,bear,13,0.0325
SOL-USD-ALGO-USD,bull,13,0.0325
SOL-USD-ASTER-USD,range,697,0.697
SOL-USD-ASTER-USD,bull,152,0.152
SOL-USD-ASTER-USD,bear,108,0.108
SOL-USD-ASTER-USD,crisis,43,0.043
SOL-USD-AVAX-USD,range,789,0.789
SOL-USD-AVAX-USD,crisis,79,0.079
SOL-USD-AVAX-USD,bull,70,0.07
SOL-USD-AVAX-USD,bear,62,0.062
SOL-USD-BCH-USD,bull,314,0.314
SOL-USD-BCH-USD,range,312,0.312
SOL-USD-BCH-USD,bear,232,0.232
SOL-USD-BCH-USD,crisis,142,0.142
SOL-USD-BNB-USD,range,114,0.57
SOL-USD-BNB-USD,bull,45,0.225
SOL-USD-BNB-USD,bear,41,0.205
SOL-USD-BNB-USD,range,306,0.765
SOL-USD-BNB-USD,bull,55,0.1375
SOL-USD-BNB-USD,bear,39,0.0975
SOL-USD-DOT-USD,range,100,1.0
SOL-USD-ENA-USD,range,913,0.913
SOL-USD-ENA-USD,bull,48,0.048
SOL-USD-ENA-USD,bear,39,0.039
SOL-USD-ENA-USD,range,10168,0.8473333333333334
SOL-USD-ENA-USD,crisis,1629,0.13575
SOL-USD-ENA-USD,bear,104,0.008666666666666666
SOL-USD-ENA-USD,bull,99,0.00825
SOL-USD-ETC-USD,range,81,0.8181818181818182
SOL-USD-ETC-USD,bear,10,0.10101010101010101
SOL-USD-ETC-USD,bull,8,0.08080808080808081
SOL-USD-HBAR-USD,range,873,0.873
SOL-USD-HBAR-USD,bull,74,0.074
SOL-USD-HBAR-USD,bear,52,0.052
SOL-USD-HBAR-USD,crisis,1,0.001
SOL-USD-HYPE-USD,range,442,0.442
SOL-USD-HYPE-USD,bull,220,0.22
SOL-USD-HYPE-USD,bear,198,0.198
SOL-USD-HYPE-USD,crisis,140,0.14
SOL-USD-ICP-USD,range,710,0.7107107107107107
SOL-USD-ICP-USD,bull,145,0.14514514514514515
SOL-USD-ICP-USD,bear,91,0.09109109109109109
SOL-USD-ICP-USD,crisis,53,0.05305305305305305
SOL-USD-INJ-USD,bull,56,0.56
SOL-USD-INJ-USD,bear,30,0.3
SOL-USD-INJ-USD,crisis,12,0.12
SOL-USD-INJ-USD,range,2,0.02
SOL-USD-JUP-USD,range,100,1.0
SOL-USD-LINK-USD,range,768,0.768
SOL-USD-LINK-USD,bull,116,0.116
SOL-USD-LINK-USD,bear,98,0.098
SOL-USD-LINK-USD,crisis,18,0.018
SOL-USD-LINK-USD,range,27606,0.46019970993715303
SOL-USD-LINK-USD,bear,11778,0.19634254088385816
SOL-USD-LINK-USD,bull,11727,0.19549235667728007
SOL-USD-LINK-USD,crisis,8876,0.1479653925017087
SOL-USD-NEAR-USD,range,873,0.873
SOL-USD-NEAR-USD,bull,74,0.074
SOL-USD-NEAR-USD,bear,52,0.052
SOL-USD-NEAR-USD,crisis,1,0.001
SOL-USD-ONDO-USD,range,442,0.442
SOL-USD-ONDO-USD,bull,244,0.244
SOL-USD-ONDO-USD,bear,193,0.193
SOL-USD-ONDO-USD,crisis,121,0.121
SOL-USD-PENGU-USD,bull,96,0.48
SOL-USD-PENGU-USD,bear,70,0.35
SOL-USD-PENGU-USD,range,19,0.095
SOL-USD-PENGU-USD,crisis,15,0.075
SOL-USD-PENGU-USD,bull,176,0.44
SOL-USD-PENGU-USD,range,116,0.29
SOL-USD-PENGU-USD,bear,91,0.2275
SOL-USD-PENGU-USD,crisis,17,0.0425
SOL-USD-PEPE-USD,range,100,1.0
SOL-USD-TAO-USD,range,818,0.818
SOL-USD-TAO-USD,bull,110,0.11
SOL-USD-TAO-USD,bear,70,0.07
SOL-USD-TAO-USD,crisis,2,0.002
SOL-USD-TIA-USD,range,652,0.652
SOL-USD-TIA-USD,bull,172,0.172
SOL-USD-TIA-USD,bear,138,0.138
SOL-USD-TIA-USD,crisis,38,0.038
SOL-USD-WLD-USD,range,880,0.88
SOL-USD-WLD-USD,bull,65,0.065
SOL-USD-WLD-USD,bear,54,0.054
SOL-USD-WLD-USD,crisis,1,0.001
SOL-USD-WLFI-USD,range,885,0.885
SOL-USD-WLFI-USD,bull,63,0.063
SOL-USD-WLFI-USD,bear,52,0.052
