pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
ETH-USD-SOL-USD,1.8,base,36,0.8746338009473725,-0.0013155487030861376,-0.2119010016539389,0.1503934571227656,0.4722222222222222,-0.06347387283866168,0.021459537506617554,0.035500000000000004,0.0284,0.007787821461274595,0.0142,0.0007100000000000001,12000,False,False
ETH-USD-SOL-USD,1.8,stress,36,0.7375725813452783,-0.0029919375919750264,-0.4782866614008618,0.18250383198365547,0.4444444444444444,-0.11856934240060901,0.021459537506617554,0.05325,0.0568,0.007787821461274595,0.0284,0.0007100000000000001,12000,False,False
BNB-USD-LINK-USD,2.0,base,36,0.4318956610381427,-0.006871269620383866,-1.3639805088550083,0.2681225403427774,0.1388888888888889,-0.22847512727032337,-0.1301554663001817,0.035500000000000004,0.0284,0.04062937240422925,0.0142,0.0007100000000000001,12000,False,False
BNB-USD-LINK-USD,2.0,stress,36,0.29318544862000395,-0.010793164034214632,-2.0993183054843136,0.3476403236806346,0.08333333333333333,-0.33040583647973665,-0.1301554663001817,0.05325,0.0568,0.12146757130213687,0.0284,0.0007100000000000001,12000,False,False
BTC-USD-SOL-USD,1.8,base,34,0.9623776402926052,-0.00033917985322539507,-0.06117306276869197,0.14679226059118392,0.5,-0.02420846360355633,0.05329543699271122,0.0335,0.0268,0.0019210557557696106,0.0134,0.00067,12000,False,False
BTC-USD-SOL-USD,1.8,stress,34,0.795623183555764,-0.0020141798532253945,-0.36027471607907635,0.16752704805269367,0.4117647058823529,-0.07842779832541369,0.05329543699271122,0.05025,0.0536,0.0019210557557696106,0.0268,0.00067,12000,False,False
BTC-USD-ETH-USD,2.0,base,30,1.1434317677946992,0.0011301038285027331,0.1999116512013302,0.11699216885543347,0.4,0.023677157185246323,0.10231608475008347,0.0295,0.023600000000000003,0.008443767854422402,0.011800000000000001,0.00059,12000,False,False
BTC-USD-ETH-USD,2.0,stress,30,0.9391436401388673,-0.000541562838163934,-0.09509133880282884,0.13342167219950404,0.4,-0.026548011401942406,0.10231608475008347,0.044250000000000005,0.047200000000000006,0.008443767854422402,0.023600000000000003,0.00059,12000,False,False
ETH-USD-SOL-USD,2.0,base,30,0.9385233116705568,-0.0007256942106140182,-0.09742834178079916,0.1474983220574014,0.5333333333333333,-0.039192413899345135,0.034064373079875754,0.0295,0.023600000000000003,0.007782986673027739,0.011800000000000001,0.00059,12000,False,False
ETH-USD-SOL-USD,2.0,stress,30,0.8092697639906096,-0.0023973608772806846,-0.319647571765871,0.16041924872964752,0.5333333333333333,-0.08642196200582386,0.034064373079875754,0.044250000000000005,0.047200000000000006,0.007782986673027739,0.023600000000000003,0.00059,12000,False,False
BNB-USD-LINK-USD,2.2,base,30,0.5414046440776976,-0.005609449440998046,-0.9325172754591506,0.22844573692913986,0.16666666666666666,-0.1648785960245055,-0.07102473648076335,0.0295,0.023600000000000003,0.04062937240422925,0.011800000000000001,0.00059,12000,False,False
BNB-USD-LINK-USD,2.2,stress,30,0.3620264758522222,-0.009975722737594965,-1.631936099735516,0.28654638274504607,0.1,-0.26769787373788334,-0.07102473648076335,0.044250000000000005,0.047200000000000006,0.12146757130213687,0.023600000000000003,0.00059,12000,False,False
BTC-USD-ETH-USD,2.2,base,28,1.2482200326980712,0.001696716532874534,0.28004393125373866,0.09777249346355515,0.39285714285714285,0.037692503191651516,0.11246536999719337,0.0275,0.022000000000000002,0.008443767854422402,0.011000000000000001,0.00055,12000,False,False
BTC-USD-ETH-USD,2.2,stress,28,1.0034411269543804,2.707367573167719e-05,0.004435739098937341,0.11000847991881496,0.39285714285714285,-0.009858167355349723,0.11246536999719337,0.04125000000000001,0.044000000000000004,0.008443767854422402,0.022000000000000002,0.00055,12000,False,False
BTC-USD-SOL-USD,2.0,base,28,0.7601330093733044,-0.002434152322953608,-0.36183741254596014,0.19193070984586755,0.4642857142857143,-0.07790757860977626,-0.017859560824640908,0.0275,0.022000000000000002,0.0019210557557696106,0.011000000000000001,0.00055,12000,False,False
BTC-USD-SOL-USD,2.0,stress,28,0.6298722623142191,-0.004103795180096464,-0.6058296550487388,0.21237376048696938,0.39285714285714285,-0.12018298198292854,-0.017859560824640908,0.04125,0.044000000000000004,0.0019210557557696106,0.022000000000000002,0.00055,12000,False,False
ETH-USD-LINK-USD,0.8,base,28,0.4062759476530875,-0.004172400925061137,-4.364482262593664,0.1388507525291799,0.17857142857142858,-0.11305501304467191,-0.05634299856966851,0.0275,0.022,0.0006907357041633683,0.011,0.00055,1000,False,False
ETH-USD-LINK-USD,0.8,stress,28,0.30398665241062517,-0.005842043782203993,-5.868088263970066,0.17630276722922336,0.17857142857142858,-0.15379791172543544,-0.05634299856966851,0.04125,0.044,0.0006907357041633683,0.022,0.00055,1000,False,False
BTC-USD-SOL-USD,0.8,base,26,0.5516044005855569,-0.0021222907171573164,-1.6259775410130168,0.0900588442746264,0.3076923076923077,-0.05463175670145448,0.007111715149469955,0.025500000000000002,0.0204,0.006633726562500001,0.0102,0.00051,5041,False,False
BTC-USD-SOL-USD,0.8,stress,26,0.3605124081503729,-0.0037895984094650104,-2.7664932545935486,0.1260871919500801,0.23076923076923078,-0.09483059638848357,0.007111715149469955,0.038250000000000006,0.0408,0.006633726562500001,0.0204,0.00051,5041,False,False
