combo_name,pair,families,strategies,component_count,total_trades,median_profit_factor,median_sharpe,worst_drawdown,eligible_rows
combo_3way_105,BTC-USD-SOL-USD,composite;ml;regime,Composite Quant Score;Feature Importance Model;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_105,SOL-USD-LINK-USD,composite;ml;regime,Composite Quant Score;Feature Importance Model;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_106,BTC-USD-SOL-USD,composite;ml;zscore,Composite Quant Score;Feature Importance Model;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_106,SOL-USD-LINK-USD,composite;ml;zscore,Composite Quant Score;Feature Importance Model;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_107,BTC-USD-SOL-USD,composite;portfolio;regime,Composite Quant Score;Pair Ranking Strategy;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_107,SOL-USD-LINK-USD,composite;portfolio;regime,Composite Quant Score;Pair Ranking Strategy;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_108,BTC-USD-SOL-USD,composite;portfolio;zscore,Composite Quant Score;Pair Ranking Strategy;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_108,SOL-USD-LINK-USD,composite;portfolio;zscore,Composite Quant Score;Pair Ranking Strategy;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
combo_3way_109,BTC-USD-SOL-USD,composite;regime;zscore,Composite Quant Score;KMeans Regime Model;Classic ZScore Mean Reversion,3,204,0.3229531658261544,-1.2380222996551553,0.2575112374854235,0
combo_3way_109,SOL-USD-LINK-USD,composite;regime;zscore,Composite Quant Score;KMeans Regime Model;Classic ZScore Mean Reversion,3,32,0.4071464569608182,-0.876881313417597,0.07193196906596552,0
combo_3way_110,BTC-USD-SOL-USD,copula;ecm;hybrid,Copula Risk Filter;Pure ECM;ZScore + ECM,3,0,0.0,0.0,0.0,0
combo_3way_110,SOL-USD-LINK-USD,copula;ecm;hybrid,Copula Risk Filter;Pure ECM;ZScore + ECM,3,0,0.0,0.0,0.0,0
combo_3way_111,BTC-USD-SOL-USD,copula;ecm;mean_reversion,Copula Risk Filter;Pure ECM;Hurst Filter,3,34,0.0,0.0,0.23415871402374777,0
combo_3way_111,SOL-USD-LINK-USD,copula;ecm;mean_reversion,Copula Risk Filter;Pure ECM;Hurst Filter,3,0,0.0,0.0,0.0,0
combo_3way_112,BTC-USD-SOL-USD,copula;ecm;ml,Copula Risk Filter;Pure ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_112,SOL-USD-LINK-USD,copula;ecm;ml,Copula Risk Filter;Pure ECM;Feature Importance Model,3,0,0.0,0.0,0.0,0
combo_3way_113,BTC-USD-SOL-USD,copula;ecm;portfolio,Copula Risk Filter;Pure ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_113,SOL-USD-LINK-USD,copula;ecm;portfolio,Copula Risk Filter;Pure ECM;Pair Ranking Strategy,3,0,0.0,0.0,0.0,0
combo_3way_114,BTC-USD-SOL-USD,copula;ecm;regime,Copula Risk Filter;Pure ECM;KMeans Regime Model,3,86,0.0,0.0,0.25198594387995527,0
combo_3way_114,SOL-USD-LINK-USD,copula;ecm;regime,Copula Risk Filter;Pure ECM;KMeans Regime Model,3,10,0.0,0.0,0.046819709109089884,0
combo_3way_115,BTC-USD-SOL-USD,copula;ecm;zscore,Copula Risk Filter;Pure ECM;Classic ZScore Mean Reversion,3,118,0.0,0.0,0.2575112374854235,0
combo_3way_115,SOL-USD-LINK-USD,copula;ecm;zscore,Copula Risk Filter;Pure ECM;Classic ZScore Mean Reversion,3,22,0.0,0.0,0.07193196906596552,0
